Purchase Date,Purchaser Name,Political Party,Amount,Redemption Date
2019-04-12,A B C INDIA LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,A B C INDIA LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000.0,2019-04-12
2019-04-12,A B C INDIA LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ARIHANT ENTERPRISES,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ARIHANT ENTERPRISES,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ARIHANT ENTERPRISES,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ARIHANT ENTERPRISES,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,CHOUDHARY GARMENTS,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,CHOUDHARY GARMENTS,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
2019-04-12,ESSEL MINING AND INDS LTD,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,2019-04-12
